date,sleep_h,active_cal,exercise_h,stand_h,basal_cal,flights,max_hr,min_o2,activity_mets,avg_rr,avg_resting_hr,steps,daylight_h
2018-04-03,,,,,,,,,,,,76.0,
2018-04-04,,,,,,4.0,,,,,,4615.0,
2018-04-05,,,,,,,,,,,,2996.0,
2018-04-06,,,,,,,,,,,,37.0,
2018-04-07,,,,,,,,,,,,594.0,
2018-04-08,,,,,,,,,,,,35.0,
2018-04-09,,,,,,,,,,,,148.0,
2018-04-11,,,,,,,,,,,,226.0,
2018-04-12,,,,,,,,,,,,112.0,
2018-04-13,,,,,,,,,,,,48.0,
2018-04-14,,,,,,,,,,,,1697.0,
2018-04-15,,,,,,,,,,,,3176.0,
2018-04-16,,,,,,,,,,,,4480.0,
2018-04-17,,,,,,3.0,,,,,,3028.0,
2018-04-18,,,,,,1.0,,,,,,3536.0,
2018-04-19,,,,,,6.0,,,,,,12448.0,
2018-04-20,,,,,,,,,,,,12015.0,
2018-04-21,,,,,,3.0,,,,,,16229.0,
2018-04-22,,,,,,4.0,,,,,,8420.0,
2018-04-23,,,,,,24.0,,,,,,10424.0,
2018-04-24,,,,,,15.0,,,,,,7095.0,
2018-04-25,,,,,,33.0,,,,,,14536.0,
2018-04-26,,,,,,19.0,,,,,,11755.0,
2018-04-27,,,,,,16.0,,,,,,10232.0,
2018-04-28,,,,,,,,,,,,6007.0,
2018-04-29,,,,,,5.0,,,,,,9741.0,
2018-04-30,,,,,,,,,,,,2192.0,
2018-05-01,,,,,,9.0,,,,,,7208.0,
2018-05-02,,,,,,29.0,,,,,,10233.0,
2018-05-03,,,,,,20.0,,,,,,9033.0,
2018-05-04,,,,,,11.0,,,,,,10390.0,
2018-05-05,,,,,,3.0,,,,,,17699.0,
2018-05-06,,,,,,10.0,,,,,,3864.0,
2018-05-07,,,,,,10.0,,,,,,6278.0,
2018-05-08,,,,,,3.0,,,,,,6046.0,
2018-05-09,,,,,,12.0,,,,,,12265.0,
2018-05-10,,,,,,7.0,,,,,,5542.0,
2018-05-11,,,,,,8.0,,,,,,8917.0,
2018-05-12,,,,,,9.0,,,,,,4086.0,
2018-05-13,,,,,,27.0,,,,,,11481.0,
2018-05-14,,,,,,15.0,,,,,,8833.0,
2018-05-15,,,,,,5.0,,,,,,5199.0,
2018-05-16,,,,,,9.0,,,,,,9947.0,
2018-05-17,,,,,,62.0,,,,,,9386.0,
2018-05-18,,,,,,,,,,,,2903.0,
2018-05-19,,,,,,,,,,,,2919.0,
2018-05-20,,,,,,,,,,,,3473.0,
2018-05-21,,,,,,1.0,,,,,,3375.0,
2018-05-22,,,,,,2.0,,,,,,17169.0,
2018-05-23,,,,,,6.0,,,,,,4151.0,
2018-05-24,,,,,,3.0,,,,,,3725.0,
2018-05-25,,,,,,2.0,,,,,,1997.0,
2018-05-26,,,,,,2.0,,,,,,900.0,
2018-05-27,,,,,,5.0,,,,,,4669.0,
2018-05-28,,,,,,3.0,,,,,,5285.0,
2018-05-29,,,,,,2.0,,,,,,6157.0,
2018-05-30,,,,,,1.0,,,,,,3312.0,
2018-05-31,,,,,,1.0,,,,,,5636.0,
2018-06-01,,,,,,1.0,,,,,,5824.0,
2018-06-02,,,,,,3.0,,,,,,3240.0,
2018-06-03,,,,,,6.0,,,,,,4151.0,
2018-06-04,,,,,,5.0,,,,,,4804.0,
2018-06-05,,,,,,6.0,,,,,,8130.0,
2018-06-06,,,,,,7.0,,,,,,4207.0,
2018-06-07,,,,,,7.0,,,,,,2830.0,
2018-06-08,,,,,,4.0,,,,,,3702.0,
2018-06-09,,,,,,1.0,,,,,,10249.0,
